Layer,Component/File,Responsibilities,Interfaces (REST/Socket),Key Data Structures,Notes
Backend API,src/app.ts,Compose middleware routes Swagger health,HTTP: /api/* /api-docs /health,Express app instance; middleware chain,CORS JSON body parser logger error/404
Backend Bootstrap,src/server.ts,Load env start HTTP and Socket.IO graceful shutdown,HTTP listener; SocketService.initialize(server),HTTP server; env PORT,Runs Socket.IO on same port; handles SIGTERM/SIGINT
Routing,routers/index.router.ts,Mount domain routers,HTTP prefix /api/users /api/socket /api/socket/rooms /api/chat,Express Router,Central mount point
Users Controller,controllers/user.controller.ts,CRUD handlers validation passthrough to service,HTTP GET/POST/PUT/DELETE /api/users,User shape {id,name,email,createdAt,updatedAt},Uses ResponseUtil and Logger
Users Service,services/user.service.ts,In-memory CRUD for users,Internal only,In-memory array IUser,Not persistent; demo only
Chat REST,routers/chat.router.ts,Fetch conversations/messages; persist message; feedback submit/list,HTTP: GET /chat/messages /chat/conversations /chat/conversations/:id; POST /chat/messages; POST/GET /chat/feedback (+:id),StoredChatMessage {id,conversationId,username?,message,timestamp,socketId?,file?}; ChatFeedback {id,conversationId,rating,description?,timestamp},Broadcast feedback via SocketService.broadcastFeedback
Chat DB Util,database/chatDb.util.ts,JSON storage for conversations; append/read,File db.json,ChatDatabaseSchema {conversations: Record<conversationId, {conversationId,messages[]}>},Ensures file exists; safe parse
Feedback DB Util,database/feedbackDb.util.ts,JSON storage for feedback; append/read/filter,File feedback.json,FeedbackDatabaseSchema {feedback: ChatFeedback[]},Ensures file exists; safe parse
Socket Stats REST,routers/socket.router.ts,Return socket stats,HTTP GET /socket/stats,Stats payload {totalConnections,activeRooms[],roomCount,roomDetails},Reads from SocketService getters
Socket Rooms REST,routers/socketRooms.router.ts,List active rooms with counts,HTTP GET /socket/rooms,{rooms:[{conversationId,roomSize}],totalConnections,roomCount},Derived from SocketService maps
Socket Service (server),services/socket.service.ts,"Init Socket.IO; manage rooms; handle join/leave, send-message, typing start/stop, feedback broadcast, disconnect cleanup","Socket events: connection; join-conversation; leave-conversation; send-message; typing-start; typing-stop; user-typing; user-joined; user-left; feedback-submitted; error; ping/pong","Maps: rooms Map<conversationId,Set<Socket>>; typingTimeouts Map<socketId,Timeout>; ChatMessage {id,conversationId,message,username?,timestamp:Date,socketId,file?}; StoredChatMessage (persisted)",Auto-join via handshake query.conversationId; persists messages via appendChatMessage fire-and-forget
Middleware,requestLogger.middleware.ts,Log method/path/status/duration,Express middleware,Request/Response,Use before routes
Middleware,error.middleware.ts,Global error handler,Express error middleware,Error response via ResponseUtil,Must be last
