Layer,Purpose,Key Pieces
Backend API,REST endpoints for chat feedback users socket info,"src/app.ts; routers/{chat,user,socket,socketRooms}.router.ts; config/swagger.config.ts"
Realtime (Socket.IO),Rooms join/leave send-message typing feedback,"services/socket.service.ts (backend)"
Persistence,Store chat transcripts and feedback (JSON),"database/chatDb.util.ts; database/feedbackDb.util.ts"
Business Logic,Chat/feedback handling user CRUD,"services/user.service.ts; controllers/user.controller.ts"
Middleware & Logging,CORS JSON parsing request logging errors 404,"middleware/requestLogger.middleware.ts; middleware/error.middleware.ts; middleware/notFound.middleware.ts"
Config/Bootstrap,Server start env load health Swagger,"src/server.ts; config/swagger.config.ts; app.ts"
Frontend App Shell,React/Vite entry routing layout,"frontend/src/main.tsx; src/App.tsx; components/Layout.tsx"
Chat UI,Dashboard list window conversation view,"components/ChatDashboard.tsx; ChatList.tsx; ChatWindow.tsx; ConversationView.tsx"
Realtime Client,Socket.IO client join/send typing listeners,"frontend/services/socket.service.ts"
REST Client,Fetch rooms conversations feedback,"frontend/services/api.service.ts"
Feedback UX,Collect and submit ratings,"components/FeedbackModal.tsx; pages/Feedback.tsx; hooks/useFeedback.ts"
Utilities/Types,Message/file helpers type safety,"types/message.types.ts; utils/fileUtil.ts; utils/linkDetector.util.ts; utils/imageCompressor.util.ts"
Styling,Component-scoped CSS (Tailwind config present),"components/*.css; index.css; App.css; tailwind.config.js"
